name,code,source,symbol,return_start,cache_version,date,close,reference_fit_score,reference_fit_note,daily_return,daily_return_pct,cum_return,cum_return_pct
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-03,1.7739081321258376,0.0028966091802455907,sliced_to_match_收益md,,,0.0,0.0
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-04,1.855064029189493,0.0028966091802455907,sliced_to_match_收益md,0.0457497745198332,4.57497745198332,0.0457497745198332,4.57497745198332
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-05,1.8533567273063072,0.0028966091802455907,sliced_to_match_收益md,-0.0009203466060047072,-0.09203466060047072,0.04478732226412374,4.478732226412374
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-06,1.8780105960094233,0.0028966091802455907,sliced_to_match_收益md,0.013302279231990344,1.3302279231990344,0.058685374962924586,5.868537496292459
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-09,1.8919589302626239,0.0028966091802455907,sliced_to_match_收益md,0.007427186131345298,0.7427186131345298,0.06654842829730723,6.654842829730723
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-10,1.8899080204532615,0.0028966091802455907,sliced_to_match_收益md,-0.0010840139162416884,-0.10840139162416884,0.06539227495868727,6.539227495868727
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-11,1.9075179266697733,0.0028966091802455907,sliced_to_match_收益md,0.009317864163721712,0.9317864163721712,0.0753194554578307,7.53194554578307
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-12,1.8872772722684779,0.0028966091802455907,sliced_to_match_收益md,-0.010610990396631492,-1.0610990396631492,0.06390925104265666,6.390925104265666
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-13,1.8506293393922864,0.0028966091802455907,sliced_to_match_收益md,-0.019418414779160287,-1.9418414779160287,0.0432498199185245,4.32498199185245
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-16,1.8858921028160818,0.0028966091802455907,sliced_to_match_收益md,0.019054471186204625,1.9054471186204625,0.06312839355217514,6.312839355217514
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-17,1.8904878588286835,0.0028966091802455907,sliced_to_match_收益md,0.002436913546506325,0.24369135465063252,0.06571914553609792,6.571914553609792
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-18,1.8772804291662997,0.0028966091802455907,sliced_to_match_收益md,-0.0069862546859026375,-0.6986254685902638,0.05827376016174024,5.827376016174024
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-19,1.9152061540179577,0.0028966091802455907,sliced_to_match_收益md,0.02020248241148548,2.020248241148548,0.07965351718794444,7.9653517187944445
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-20,1.9363917302162366,0.0028966091802455907,sliced_to_match_收益md,0.011061773247664775,1.1061773247664775,0.09159639958112131,9.15963995811213
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-23,1.9243117640616174,0.0028966091802455907,sliced_to_match_收益md,-0.0062383896636813985,-0.6238389663681398,0.08478659588506265,8.478659588506265
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-24,1.9322254841113546,0.0028966091802455907,sliced_to_match_收益md,0.004112493722448596,0.4112493722448596,0.08924777395083638,8.924777395083638
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-25,1.956890090562164,0.0028966091802455907,sliced_to_match_收益md,0.01276486965606538,1.276486965606538,0.10315187980847829,10.315187980847828
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-26,1.943757825133631,0.0028966091802455907,sliced_to_match_收益md,-0.006710783345405202,-0.6710783345405202,0.09574886654600712,9.57488665460071
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-27,1.8413519253855388,0.0028966091802455907,sliced_to_match_收益md,-0.05268449516906859,-5.268449516906859,0.038019890679951596,3.8019890679951596
消费红利指数（50）,H30094,rising99,H20094,2015-11-03,2026-05-03-total-return-only-v4,2015-11-30,1.8605510182606138,0.0028966091802455907,sliced_to_match_收益md,0.010426628723379405,1.0426628723379405,0.048842938687554405,4.8842938687554405
