name,code,source,symbol,return_start,cache_version,date,close,open,high,low,volume,amount,reference_fit_score,reference_fit_note,daily_return,daily_return_pct,cum_return,cum_return_pct
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-13,1172.0803,1171.0818,1173.7901,1158.8122,1944.04,167.49,0.008616291479231819,sliced_to_match_收益md,,,0.0,0.0
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-14,1167.7431,1168.8963,1178.6095,1163.0179,1710.72,151.01,0.008616291479231819,sliced_to_match_收益md,-0.0037004290576337917,-0.37004290576337917,-0.0037004290576337917,-0.37004290576337917
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-15,1176.2401,1165.3059,1176.2401,1159.9139,1601.94,142.89,0.008616291479231819,sliced_to_match_收益md,0.007276429207759838,0.7276429207759838,0.00354907424004991,0.354907424004991
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-16,1164.4435,1166.5296,1181.7352,1164.4435,2000.52,164.89,0.008616291479231819,sliced_to_match_收益md,-0.010029074846198416,-1.0029074846198416,-0.006515594537336633,-0.6515594537336633
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-17,1158.3857,1165.7001,1167.9746,1144.7387,1766.63,148.33,0.008616291479231819,sliced_to_match_收益md,-0.0052023133797389765,-0.5202313379738976,-0.011684011752437051,-1.1684011752437051
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-20,1168.2677,1162.5127,1168.2677,1158.7815,1366.93,125.13,0.008616291479231819,sliced_to_match_收益md,0.008530837354086884,0.8530837354086884,-0.0032528488022534052,-0.3252848802253405
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-21,1164.4332,1166.0406,1176.0555,1164.0105,1638.44,133.18,0.008616291479231819,sliced_to_match_收益md,-0.0032822100619577244,-0.32822100619577244,-0.0065243823311423865,-0.6524382331142387
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-22,1160.0397,1165.7116,1170.0397,1158.9911,1433.5,125.48,0.008616291479231819,sliced_to_match_收益md,-0.003773080327836631,-0.3773080327836631,-0.010272845640354134,-1.0272845640354134
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-23,1144.9254,1157.94,1160.2584,1142.701,1469.96,125.14,0.008616291479231819,sliced_to_match_收益md,-0.013029123055012692,-1.3029123055012692,-0.023168122525393464,-2.3168122525393464
国证自由现金流指数（100）,980092,cni,480092,2014-10-13,2026-05-03-total-return-only-v4,2014-10-24,1143.6561,1146.8506,1147.4308,1139.6307,1332.6,108.93,0.008616291479231819,sliced_to_match_收益md,-0.0011086311824335393,-0.11086311824335393,-0.024251068804756915,-2.4251068804756915
