name,code,source,symbol,return_start,cache_version,date,close,reference_fit_score,reference_fit_note,daily_return,daily_return_pct,cum_return,cum_return_pct
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-01-24,1.9351186420161475,0.0095966994998129,sliced_to_match_收益md,,,0.0,0.0
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-01-25,1.9379987331772937,0.0095966994998129,sliced_to_match_收益md,0.0014883279498281166,0.14883279498281166,0.0014883279498281166,0.14883279498281166
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-01-26,1.9427884499996348,0.0095966994998129,sliced_to_match_收益md,0.0024714757240777985,0.24714757240777985,0.00396348204030339,0.396348204030339
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-03,1.9249444069360109,0.0095966994998129,sliced_to_match_收益md,-0.00918475867180868,-0.9184758671808679,-0.005257680257545472,-0.5257680257545472
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-06,1.9297236886454492,0.0095966994998129,sliced_to_match_收益md,0.0024828154476657094,0.24828154476657094,-0.002787918659642119,-0.2787918659642119
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-07,1.9317689707743793,0.0095966994998129,sliced_to_match_收益md,0.0010598834128245915,0.10598834128245915,-0.001730990115561215,-0.1730990115561215
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-08,1.939292687177229,0.0095966994998129,sliced_to_match_收益md,0.003894728881494336,0.3894728881494336,0.002156997028736507,0.2156997028736507
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-09,1.94778686908003,0.0095966994998129,sliced_to_match_收益md,0.00438004121758695,0.43800412175869496,0.006546485982215522,0.6546485982215522
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-10,1.961540347885794,0.0095966994998129,sliced_to_match_收益md,0.007061079948783133,0.7061079948783133,0.013653791191902576,1.3653791191902576
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-13,1.978006956046261,0.0095966994998129,sliced_to_match_收益md,0.008394733342199645,0.8394733342199645,0.022163144470268348,2.2163144470268348
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-14,1.9751686053367254,0.0095966994998129,sliced_to_match_收益md,-0.0014349548675041124,-0.14349548675041124,0.02069638649072747,2.069638649072747
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-15,1.9805322533687153,0.0095966994998129,sliced_to_match_收益md,0.0027155393304134634,0.27155393304134634,0.02346812767265405,2.346812767265405
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-16,1.9882855422554246,0.0095966994998129,sliced_to_match_收益md,0.003914750125135091,0.39147501251350914,0.02747474965353236,2.747474965353236
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-17,1.9737807353206658,0.0095966994998129,sliced_to_match_收益md,-0.007295132729429388,-0.7295132729429388,0.01997918497867257,1.997918497867257
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-20,2.009093157383416,0.0095966994998129,sliced_to_match_收益md,0.017890752215196537,1.7890752215196537,0.03822737984178404,3.8227379841784037
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-21,2.0115245386897462,0.0095966994998129,sliced_to_match_收益md,0.001210188436208126,0.12101884362081261,0.03948383061102323,3.948383061102323
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-22,2.0198517587861042,0.0095966994998129,sliced_to_match_收益md,0.00413975566103808,0.41397556610380803,0.043787039683352846,4.378703968335285
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-23,2.008007905641535,0.0095966994998129,sliced_to_match_收益md,-0.005863723955508049,-0.5863723955508049,0.03766656061431273,3.7666560614312727
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-24,2.002153807303118,0.0095966994998129,sliced_to_match_收益md,-0.0029153761406864875,-0.29153761406864875,0.03464137228150954,3.464137228150954
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-27,1.983224512497613,0.0095966994998129,sliced_to_match_收益md,-0.009454465853950933,-0.9454465853950933,0.024859390756189148,2.485939075618915
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-02-28,1.99278307591649,0.0095966994998129,sliced_to_match_收益md,0.004819708186663885,0.48197081866638847,0.029798913951996076,2.9798913951996076
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-03-01,1.9939831139003008,0.0095966994998129,sliced_to_match_收益md,0.0006021919788028463,0.060219197880284625,0.030419050597757957,3.0419050597757957
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-03-02,1.984591512287867,0.0095966994998129,sliced_to_match_收益md,-0.004709970484185089,-0.47099704841850887,0.025565807283100428,2.556580728310043
国企红利指数（100）,000824,rising99,H00824,2017-01-24,2026-05-03-total-return-only-v4,2017-03-03,1.981920123384775,0.0095966994998129,sliced_to_match_收益md,-0.001346064863500529,-0.1346064863500529,0.02418532918470917,2.418532918470917
