date,close,volume,amount,daily_return,daily_return_pct,cum_return,cum_return_pct
2006-06-28,1247.17,0.0,0.0,,,0.0,0.0
2006-06-29,1277.37,0.0,0.0,0.024214822357818022,2.421482235781802,0.024214822357818022,2.421482235781802
2006-06-30,1273.39,0.0,0.0,-0.003115776947947624,-0.3115776947947624,0.021023597424569163,2.1023597424569163
2006-07-03,1290.84,0.0,0.0,0.013703578636552693,1.3703578636552693,0.03501527458165277,3.5015274581652767
2006-07-04,1271.86,0.0,0.0,-0.014703603854854252,-1.4703603854854252,0.019796820000480997,1.9796820000480997
2006-07-05,1248.82,0.0,0.0,-0.018115201358640087,-1.8115201358640087,0.0013229952612714424,0.13229952612714424
2006-07-06,1273.56,0.0,0.0,0.01981070130202922,1.981070130202922,0.021159906027245823,2.1159906027245823
2006-07-07,1260.65,0.0,0.0,-0.01013693897421386,-1.013693897421386,0.010808470376933776,1.0808470376933776
2006-07-10,1261.96,0.0,0.0,0.00103914647205805,0.10391464720580501,0.011858848432852342,1.1858848432852342
2006-07-11,1265.71,0.0,0.0,0.002971568037021699,0.2971568037021699,0.014865655844833014,1.4865655844833014
2006-07-12,1273.68,0.0,0.0,0.006296861050319569,0.6296861050319569,0.02125612386442932,2.125612386442932
2006-07-13,1218.7,0.0,0.0,-0.043166258400854196,-4.31662584008542,-0.022827681871757433,-2.2827681871757433
2006-07-14,1227.72,0.0,0.0,0.007401329285303904,0.7401329285303904,-0.015595307776806622,-1.5595307776806622
2006-07-17,1240.78,0.0,0.0,0.010637604665558964,1.0637604665558964,-0.005123599830015091,-0.5123599830015091
2006-07-18,1240.36,0.0,0.0,-0.0003384967520431159,-0.03384967520431159,-0.005460362260157003,-0.5460362260157003
2006-07-19,1211.0,0.0,0.0,-0.023670547260472685,-2.3670547260472685,-0.02900165975769131,-2.900165975769131
2006-07-20,1217.94,0.0,0.0,0.005730800990916718,0.5730800990916718,-0.02343706150725222,-2.343706150725222
2006-07-21,1225.88,0.0,0.0,0.006519204558516956,0.6519204558516956,-0.017070647946951567,-1.7070647946951567
2006-07-24,1224.95,0.0,0.0,-0.0007586386922048272,-0.07586386922048272,-0.017816336185122794,-1.7816336185122794
2006-07-25,1241.63,0.0,0.0,0.01361688232172753,1.361688232172753,-0.004442056816632456,-0.4442056816632456
2006-07-26,1245.66,0.0,0.0,0.0032457334310542763,0.3245733431054276,-0.0012107411178905458,-0.12107411178905458
2006-07-27,1231.91,0.0,0.0,-0.011038325064624321,-1.1038325064624321,-0.012235701628486528,-1.2235701628486528
2006-07-28,1224.76,0.0,0.0,-0.005803995421743591,-0.5803995421743591,-0.01796868109399652,-1.796868109399652
2006-07-31,1186.91,0.0,0.0,-0.03090401384761088,-3.090401384761088,-0.04831739057225526,-4.831739057225526
2006-08-01,1180.91,0.0,0.0,-0.005055143186930788,-0.5055143186930788,-0.05312828243142442,-5.312828243142443
2006-08-02,1178.54,0.0,0.0,-0.0020069268614882896,-0.20069268614882896,-0.0550285847157963,-5.50285847157963
2006-08-03,1178.89,0.0,0.0,0.0002969776163728177,0.029697761637281772,-0.05474794935734473,-5.474794935734472
2006-08-04,1151.05,0.0,0.0,-0.023615434858214157,-2.3615434858214157,-0.07707048758388968,-7.707048758388968
2006-08-07,1132.13,0.0,0.0,-0.01643716606576595,-1.6437166065765951,-0.0922408332464697,-9.22408332464697
2006-08-08,1158.79,0.0,0.0,0.02354853241235544,2.354853241235544,-0.07086443708556145,-7.0864437085561445
2006-08-09,1157.6,0.0,0.0,-0.0010269332665970854,-0.10269332665970854,-0.07181859730429674,-7.181859730429673
2006-08-10,1181.52,0.0,0.0,0.020663441603317345,2.0663441603317345,-0.052639175092408896,-5.26391750924089
2006-08-11,1183.43,0.0,0.0,0.001616561717110221,0.1616561717110221,-0.05110770785057328,-5.110770785057328
2006-08-14,1154.75,0.0,0.0,-0.024234639987156026,-2.4234639987156026,-0.07410377093740195,-7.410377093740195
2006-08-15,1177.63,0.0,0.0,0.019813812513531204,1.9813812513531204,-0.05575823664777013,-5.575823664777014
2006-08-16,1191.31,0.0,0.0,0.011616551888114168,1.1616551888114168,-0.04478940320886449,-4.478940320886449
2006-08-17,1179.53,0.0,0.0,-0.009888274252713325,-0.9888274252713325,-0.054234787559033215,-5.4234787559033215
2006-08-18,1176.15,0.0,0.0,-0.0028655481420565287,-0.2865548142056529,-0.056944923306365136,-5.694492330636514
2006-08-21,1175.91,0.0,0.0,-0.00020405560515246446,-0.020405560515246446,-0.05713735898073191,-5.713735898073191
2006-08-22,1182.96,0.0,0.0,0.005995356787509287,0.5995356787509287,-0.05148456104620813,-5.148456104620813
2006-08-23,1183.2,0.0,0.0,0.000202880908906522,0.0202880908906522,-0.05129212537184136,-5.129212537184136
2006-08-24,1189.86,0.0,0.0,0.005628803245435909,0.5628803245435909,-0.04595203540816373,-4.595203540816373
2006-08-25,1196.87,0.0,0.0,0.0058914494142168206,0.5891449414216821,-0.04033131008603441,-4.033131008603441
2006-08-28,1219.39,0.0,0.0,0.018815744399976797,1.8815744399976797,-0.022274429307952648,-2.227442930795265
2006-08-29,1220.63,0.0,0.0,0.0010169018935697327,0.10169018935697327,-0.021280178323724308,-2.128017832372431
2006-08-30,1223.4,0.0,0.0,0.0022693199413417187,0.22693199413417187,-0.019059149915407914,-1.9059149915407914
2006-08-31,1225.82,0.0,0.0,0.001978093836848105,0.1978093836848105,-0.017118756865543094,-1.7118756865543094
2006-09-01,1214.22,0.0,0.0,-0.009463053303095048,-0.9463053303095048,-0.026419814459936797,-2.6419814459936797
2006-09-04,1231.51,0.0,0.0,0.014239594142741785,1.4239594142741785,-0.012556427752431043,-1.2556427752431043
2006-09-05,1230.72,0.0,0.0,-0.0006414889038659499,-0.06414889038659499,-0.013189861847221596,-1.3189861847221596
2006-09-06,1237.26,0.0,0.0,0.005313962558502361,0.5313962558502361,-0.007945989720727242,-0.7945989720727242
2006-09-07,1221.33,0.0,0.0,-0.012875224285922138,-1.2875224285922138,-0.02071890760682138,-2.071890760682138
2006-09-08,1222.96,0.0,0.0,0.0013346106293958826,0.13346106293958826,-0.019411948651747002,-1.9411948651747002
2006-09-11,1228.43,0.0,0.0,0.004472754628115361,0.4472754628115361,-0.01502601890680444,-1.502601890680444
2006-09-12,1243.17,0.0,0.0,0.01199905570524984,1.199905570524984,-0.0032072612394454802,-0.320726123944548
2006-09-13,1237.99,0.0,0.0,-0.004166767216068679,-0.41667672160686786,-0.007360664544528217,-0.7360664544528217
2006-09-14,1232.36,0.0,0.0,-0.004547694246318734,-0.4547694246318734,-0.011874884739048741,-1.187488473904874
2006-09-15,1255.16,0.0,0.0,0.018501087344607203,1.8501087344607203,0.006406504325794149,0.6406504325794149
2006-09-18,1266.8,0.0,0.0,0.009273718091717287,0.9273718091717287,0.015739634532582203,1.5739634532582203
2006-09-19,1266.05,0.0,0.0,-0.0005920429428480922,-0.05920429428480922,0.015138273050186113,1.5138273050186113
2006-09-20,1263.73,0.0,0.0,-0.0018324710714425763,-0.18324710714425763,0.013278061531307506,1.3278061531307506
2006-09-21,1268.05,0.0,0.0,0.0034184517262390024,0.34184517262390024,0.01674190366990924,1.6741903669909242
2006-09-22,1250.19,0.0,0.0,-0.014084618114427627,-1.4084618114427627,0.002421482235782424,0.2421482235782424
2006-09-25,1243.12,0.0,0.0,-0.005655140418656446,-0.5655140418656446,-0.0032473520049386417,-0.3247352004938642
2006-09-26,1236.6,0.0,0.0,-0.00524486775210764,-0.524486775210764,-0.00847518782523582,-0.8475187825235819
2006-09-27,1243.84,0.0,0.0,0.00585476306000321,0.585476306000321,-0.0026700449818384264,-0.26700449818384264
2006-09-28,1250.16,0.0,0.0,0.005081039361976014,0.5081039361976014,0.0023974277764866603,0.23974277764866603
2006-09-29,1261.33,0.0,0.0,0.008934856338388641,0.8934856338388641,0.011353704787639973,1.1353704787639973
2006-10-09,1283.08,0.0,0.0,0.01724370307532519,1.724370307532519,0.028793187777128137,2.8793187777128137
2006-10-10,1281.21,0.0,0.0,-0.0014574305577204072,-0.14574305577204072,0.027293793147687095,2.7293793147687095
2006-10-11,1290.18,0.0,0.0,0.007001194183623216,0.7001194183623216,0.034486076477144856,3.4486076477144856
2006-10-12,1296.54,0.0,0.0,0.00492954471469087,0.492954471469087,0.03958562184786407,3.958562184786407
2006-10-13,1293.56,0.0,0.0,-0.002298425038949836,-0.22984250389498362,0.037196212224476666,3.7196212224476666
2006-10-16,1284.13,0.0,0.0,-0.007289959491635356,-0.7289959491635356,0.02963509385248253,2.963509385248253
2006-10-17,1275.33,0.0,0.0,-0.006852888726219475,-0.6852888726219475,0.022579119125700986,2.2579119125700986
2006-10-18,1291.55,0.0,0.0,0.012718276838151743,1.2718276838151743,0.03558456345165495,3.558456345165495
2006-10-19,1293.63,0.0,0.0,0.0016104680422748263,0.16104680422748263,0.037252339296167,3.7252339296167003
2006-10-20,1285.87,0.0,0.0,-0.005998624026963051,-0.5998624026963051,0.031030252491641486,3.1030252491641486
2006-10-23,1270.2,0.0,0.0,-0.0121863018812165,-1.21863018812165,0.01846580658611141,1.846580658611141
2006-10-24,1301.88,0.0,0.0,0.024940954180444175,2.4940954180444175,0.04386731560252466,4.386731560252466
2006-10-25,1301.21,0.0,0.0,-0.0005146403662396049,-0.051464036623960485,0.043330099344917494,4.333009934491749
