date,close,volume,amount,daily_return,daily_return_pct,cum_return,cum_return_pct
2017-05-19,5297.79,2075.22,273.11,,,0.0,0.0
2017-05-22,5320.42,2697.9,372.08,0.004271592494228704,0.4271592494228704,0.004271592494228704,0.4271592494228704
2017-05-23,5327.03,3222.41,447.59,0.0012423831201295865,0.12423831201295865,0.005519282568769102,0.5519282568769102
2017-05-24,5345.87,2338.01,319.63,0.003536679913572982,0.3536679913572982,0.00907548241814049,0.907548241814049
2017-05-25,5410.13,3589.49,469.55,0.01202049432552621,1.202049432552621,0.0212050685285754,2.12050685285754
2017-05-26,5406.25,2545.08,348.08,-0.0007171731548040183,-0.07171731548040183,0.02047268766787691,2.047268766787691
2017-05-29,5447.48,416.21,61.86,0.007626358381502829,0.7626358381502829,0.028255178102567502,2.82551781025675
2017-05-30,5447.48,0.0,0.0,0.0,0.0,0.028255178102567502,2.82551781025675
2017-05-31,5451.24,3038.61,433.27,0.0006902274079023663,0.06902274079023663,0.028964908008811463,2.8964908008811463
2017-06-01,5449.16,2774.13,388.16,-0.000381564561457548,-0.0381564561457548,0.028572291464931787,2.8572291464931787
2017-06-02,5467.0,2235.89,308.76,0.003273899096374544,0.3273899096374544,0.0319397333605147,3.19397333605147
2017-06-05,5469.32,2223.95,292.48,0.00042436436802639754,0.042436436802639754,0.032377651813303654,3.2377651813303654
2017-06-06,5489.44,1968.41,302.77,0.003678702288401503,0.3678702288401503,0.036175461843523715,3.6175461843523715
2017-06-07,5535.31,3048.58,463.78,0.008356043603719332,0.8356043603719332,0.044833789183792216,4.483378918379222
2017-06-08,5589.09,2508.89,408.87,0.009715806341469513,0.9715806341469513,0.0549851919385258,5.49851919385258
2017-06-09,5573.1,3210.73,473.28,-0.002860930849208021,-0.2860930849208021,0.05196695225745129,5.196695225745129
2017-06-12,5576.71,1834.23,251.44,0.0006477543916312278,0.06477543916312278,0.05264836847062693,5.264836847062693
2017-06-13,5589.34,1458.64,197.68,0.0022647761852419013,0.22647761852419013,0.055032381426972865,5.5032381426972865
2017-06-14,5550.25,1292.72,194.87,-0.006993670093427884,-0.6993670093427884,0.0476538330133891,4.76538330133891
2017-06-15,5532.62,1198.06,189.55,-0.0031764334939867744,-0.31764334939867744,0.04432603028810167,4.432603028810167
2017-06-16,5543.43,1067.64,155.38,0.001953866341805499,0.1953866341805499,0.046366503768553,4.6366503768553
2017-06-19,5580.64,1104.41,167.13,0.006712450594667851,0.6712450594667851,0.053390187229014785,5.3390187229014785
2017-06-20,5572.39,1111.18,170.59,-0.0014783250666590142,-0.14783250666590142,0.051832934110261464,5.183293411026146
2017-06-21,5587.69,1138.75,185.79,0.0027456800403415915,0.27456800403415915,0.054720930803221934,5.472093080322193
2017-06-22,5575.98,1952.66,282.72,-0.0020956781782811573,-0.20956781782811573,0.052510575164361306,5.251057516436131
2017-06-23,5604.22,1460.62,218.4,0.00506458057597059,0.506458057597059,0.057841099779342375,5.7841099779342375
2017-06-26,5695.43,2002.59,314.79,0.016275235447573477,1.6275235447573477,0.07505771274437123,7.505771274437123
2017-06-27,5697.58,1567.25,236.68,0.00037749564124212043,0.03774956412421204,0.07546354234501584,7.546354234501584
2017-06-28,5664.89,1447.02,226.51,-0.005737523650391818,-0.5737523650391818,0.06929304483567722,6.929304483567722
2017-06-29,5718.35,1352.92,214.7,0.009437076448086446,0.9437076448086446,0.07938404504519858,7.938404504519858
2017-06-30,5715.31,1270.64,195.7,-0.0005316218839350739,-0.05316218839350739,0.07881022086568223,7.8810220865682235
2017-07-03,5750.15,1454.19,232.6,0.006095907308614867,0.6095907308614867,0.0853865479756657,8.538654797566569
2017-07-04,5698.63,1461.06,235.61,-0.008959766266966818,-0.8959766266966818,0.07566173819649369,7.566173819649369
2017-07-05,5751.67,1312.22,206.43,0.009307500223737941,0.9307500223737941,0.08567346006542387,8.567346006542387
2017-07-06,5769.65,1627.85,252.84,0.003126048608490972,0.3126048608490972,0.08906732807453688,8.906732807453688
2017-07-07,5775.33,1371.63,205.88,0.0009844617957761592,0.09844617957761592,0.09013947325205418,9.013947325205418
2017-07-10,5770.07,1773.61,264.79,-0.0009107704667958849,-0.09107704667958849,0.08914660641512784,8.914660641512784
2017-07-11,5779.71,1611.16,244.09,0.0016706903035839105,0.16706903035839105,0.09096623308964702,9.096623308964702
2017-07-12,5789.93,1584.84,231.07,0.001768254808632408,0.1768254808632408,0.09289533937736327,9.289533937736326
2017-07-13,5854.12,1865.29,272.31,0.011086489819393197,1.1086489819393197,0.10501171243103258,10.501171243103258
2017-07-14,5873.63,1503.98,208.23,0.0033326956058297164,0.33326956058297164,0.10869438010944177,10.869438010944176
2017-07-17,5768.46,2035.14,292.12,-0.01790545199476301,-1.790545199476301,0.08884270610952871,8.884270610952871
2017-07-18,5772.87,1725.35,246.82,0.0007645021374855787,0.07645021374855787,0.08967512868573513,8.967512868573513
2017-07-19,5865.19,2113.66,306.42,0.015992045550999645,1.5992045550999645,0.10710126297946876,10.710126297946875
2017-07-20,5864.9,1833.81,275.3,-4.9444263527709253e-05,-0.004944426352770925,0.10704652317287011,10.70465231728701
2017-07-21,5885.38,1873.29,275.56,0.003491960647240333,0.3491960647240333,0.11091228606645398,11.091228606645398
2017-07-24,5901.2,2018.65,283.26,0.0026880167465821447,0.2688016746582145,0.11389843689538437,11.389843689538438
2017-07-25,5854.53,1545.72,217.33,-0.00790856097065007,-0.7908560970650069,0.10508910319208531,10.508910319208532
2017-07-26,5847.7,1664.37,234.72,-0.0011666179864139314,-0.11666179864139314,0.10379988636771142,10.379988636771142
2017-07-27,5863.33,1748.48,246.0,0.0026728457342202194,0.26728457342202194,0.10675017318542213,10.675017318542213
2017-07-28,5861.61,1291.02,197.34,-0.00029334866023233985,-0.029334866023233985,0.10642550950490626,10.642550950490627
2017-07-31,5911.0,1705.41,250.01,0.008426012648402148,0.8426012648402148,0.11574826484250944,11.574826484250945
2017-08-01,5894.77,1668.47,243.09,-0.0027457283031635527,-0.27457283031635527,0.11268472325252565,11.268472325252565
2017-08-02,5881.62,1977.52,271.05,-0.002230791023229206,-0.2230791023229206,0.11020255616020957,11.020255616020957
2017-08-03,5868.83,1824.32,250.35,-0.002174570951540611,-0.2174570951540611,0.10778834193125753,10.778834193125753
