date,close,volume,amount,daily_return,daily_return_pct,cum_return,cum_return_pct
2014-09-17,1188.33,1595.74,140.86,,,0.0,0.0
2014-09-18,1192.05,1547.22,134.36,0.0031304435636565486,0.31304435636565486,0.0031304435636565486,0.31304435636565486
2014-09-19,1200.19,1274.33,119.13,0.006828572626987217,0.6828572626987217,0.009980392651872894,0.9980392651872894
2014-09-22,1180.35,1472.73,138.27,-0.016530715969971577,-1.6530715969971577,-0.006715306354295625,-0.6715306354295625
2014-09-23,1192.92,1290.37,127.1,0.010649383657389988,1.0649383657389988,0.0038625634293505406,0.38625634293505406
2014-09-24,1206.88,1596.23,159.12,0.011702377359755989,1.1702377359755989,0.015610141963932733,1.5610141963932733
2014-09-25,1209.06,1810.53,181.01,0.001806310486543783,0.1806310486543783,0.017444649213602448,1.7444649213602448
2014-09-26,1210.22,1295.76,132.57,0.0009594230228442413,0.09594230228442413,0.018420809034527696,1.8420809034527696
2014-09-29,1216.41,1580.45,159.44,0.005114772520698807,0.5114772520698807,0.02362979980308544,2.362979980308544
2014-09-30,1217.17,1394.48,149.06,0.0006247893391209125,0.06247893391209125,0.02426935278920883,2.426935278920883
2014-10-08,1225.6,1528.02,164.72,0.006925901887164354,0.6925901887164354,0.03136334183265621,3.136334183265621
2014-10-09,1228.54,1689.26,182.92,0.002398825065274224,0.23988250652742238,0.03383740206844932,3.383740206844932
2014-10-10,1216.53,1657.47,179.98,-0.00977583147475869,-0.9775831474758689,0.02373078185352573,2.373078185352573
2014-10-13,1207.79,1389.95,148.0,-0.007184368655109186,-0.7184368655109186,0.016375922513106822,1.6375922513106822
2014-10-14,1207.02,1366.25,144.09,-0.0006375280470942712,-0.06375280470942712,0.015727954356113294,1.5727954356113294
2014-10-15,1210.03,1241.8,139.17,0.0024937449255191257,0.24937449255191257,0.01826092078799668,1.8260920787996682
2014-10-16,1197.11,1334.3,141.94,-0.010677421220961492,-1.0677421220961492,0.0073885200238992255,0.7388520023899225
2014-10-17,1189.09,1373.34,142.81,-0.00669946788515674,-0.669946788515674,0.0006395529861236149,0.06395529861236149
2014-10-20,1200.7,1087.02,113.09,0.009763768932545158,0.9763768932545158,0.010409566366245349,1.0409566366245349
2014-10-21,1196.86,1273.72,121.82,-0.0031981344215875618,-0.3198134421587562,0.007178140752148066,0.7178140752148066
2014-10-22,1192.0,1061.37,109.96,-0.004060625302875764,-0.40606253028757644,0.0030883677093065387,0.30883677093065387
