date,close,daily_return,daily_return_pct,cum_return,cum_return_pct
2011-10-24,830.12,,,0.0,0.0
2011-10-25,848.61,0.022273888112562146,2.2273888112562146,0.022273888112562146,2.2273888112562146
2011-10-26,854.53,0.006976113880345469,0.6976113880345469,0.029405387172938946,2.9405387172938946
2011-10-27,857.73,0.0037447485752402088,0.3744748575240209,0.03326025152989942,3.326025152989942
2011-10-28,873.69,0.01860725403098873,1.860725403098873,0.052486387510239485,5.2486387510239485
2011-10-31,876.06,0.0027126326271331713,0.27126326271331713,0.05534139642461322,5.534139642461322
2011-11-01,876.2,0.00015980640595403273,0.015980640595403273,0.0555100467402303,5.55100467402303
2011-11-02,888.67,0.014231910522711555,1.4231910522711555,0.07053197128126043,7.053197128126043
2011-11-03,890.71,0.002295565282951051,0.2295565282951051,0.07298944730882284,7.298944730882284
2011-11-04,893.77,0.0034354615980509706,0.34354615980509706,0.07667566135016624,7.6675661350166235
2011-11-07,889.95,-0.004274030231491199,-0.42740302314911993,0.07207391702404475,7.207391702404475
2011-11-08,884.15,-0.006517220068543272,-0.6517220068543272,0.06508697537705377,6.508697537705377
2011-11-09,894.97,0.012237742464513923,1.2237742464513923,0.07812123548402616,7.812123548402616
2011-11-10,884.93,-0.011218253125803157,-1.1218253125803157,0.06602659856406268,6.602659856406268
2011-11-11,883.58,-0.0015255443933417379,-0.15255443933417379,0.06440032766347015,6.440032766347015
2011-11-14,902.95,0.021922180221372045,2.1922180221372045,0.0877343034741962,8.77343034741962
2011-11-15,902.98,3.3224431031486645e-05,0.0033224431031486645,0.08777044282754254,8.777044282754254
2011-11-16,882.99,-0.02213781036124829,-2.213781036124829,0.06368958704765526,6.368958704765526
2011-11-17,884.43,0.0016308225461216797,0.16308225461216797,0.06542427600828749,6.5424276008287485
2011-11-18,868.87,-0.017593252151102856,-1.7593252151102856,0.0466799980725674,4.66799980725674
2011-11-21,868.54,-0.00037980365302059393,-0.03798036530205939,0.04628246518575585,4.628246518575585
2011-11-22,867.71,-0.0009556266838601779,-0.09556266838601779,0.04528260974316933,4.528260974316933
2011-11-23,865.28,-0.002800474813013598,-0.2800474813013598,0.04235532212210247,4.235532212210247
2011-11-24,868.69,0.0039409208579883614,0.39409208579883614,0.046463161952488674,4.646316195248867
2011-11-25,863.06,-0.006481023149800369,-0.6481023149800369,0.039681009974461334,3.9681009974461334
2011-11-28,869.18,0.007091048131068423,0.7091048131068423,0.04705343805714812,4.705343805714812
2011-11-29,878.53,0.010757265468602561,1.0757265468602561,0.05831686985014195,5.831686985014195
2011-11-30,858.65,-0.022628709321252494,-2.2628709321252494,0.03436852503252519,3.436852503252519
2011-12-01,876.19,0.020427415128399407,2.0427415128399407,0.05549800028911478,5.549800028911478
2011-12-02,868.71,-0.00853696116139191,-0.8536961161391909,0.04648725485471972,4.648725485471972
2011-12-05,854.3,-0.016587814115182398,-1.6587814115182398,0.02912831879728217,2.912831879728217
2011-12-06,853.64,-0.0007725623317335062,-0.07725623317335062,0.028333253023659077,2.8333253023659077
2011-12-07,857.2,0.004170376271027676,0.4170376271027676,0.032621789620777664,3.2621789620777664
2011-12-08,855.24,-0.0022865142323845733,-0.22865142323845733,0.030260685202139426,3.0260685202139426
2011-12-09,845.32,-0.01159908329825543,-1.159908329825543,0.0183106056955622,1.8310605695562199
2011-12-12,834.44,-0.012870865471064197,-1.2870865471064197,0.005204066881896674,0.5204066881896674
2011-12-13,819.29,-0.01815588897943543,-1.815588897943543,-0.013046306558088028,-1.3046306558088028
2011-12-14,809.28,-0.012217895983107296,-1.2217895983107296,-0.025104804124704838,-2.510480412470484
2011-12-15,798.77,-0.012986852510873836,-1.2986852510873836,-0.03776562424709673,-3.776562424709673
2011-12-16,816.73,0.022484570026415573,2.2484570026415573,-0.01613019804365634,-1.613019804365634
2011-12-19,819.44,0.003318110024120635,0.3318110024120635,-0.012865609791355426,-1.2865609791355426
2011-12-20,815.59,-0.004698330567216691,-0.4698330567216691,-0.017503493470823472,-1.7503493470823472
2011-12-21,806.91,-0.01064260228791436,-1.064260228791436,-0.027959813039078796,-2.7959813039078796
2011-12-22,805.54,-0.001697834950614041,-0.1697834950614041,-0.02961017684190248,-2.961017684190248
2011-12-23,813.06,0.009335352682672493,0.9335352682672493,-0.020551245603045443,-2.0551245603045443
2011-12-26,806.78,-0.007723907214719716,-0.7723907214719716,-0.028116416903580355,-2.8116416903580355
2011-12-27,791.6,-0.01881553831279892,-1.8815538312798918,-0.04640292969691129,-4.640292969691129
2011-12-28,788.54,-0.0038655886811521656,-0.38655886811521656,-0.05008914373825479,-5.00891437382548
2011-12-29,791.59,0.0038679077789331995,0.38679077789331995,-0.04641497614802692,-4.641497614802692
2011-12-30,804.91,0.016826892709609798,1.6826892709609798,-0.03036910326217912,-3.036910326217912
2012-01-04,784.63,-0.02519536345678397,-2.519536345678397,-0.05479930612441586,-5.479930612441586
2012-01-05,768.67,-0.02034079757337859,-2.034079757337859,-0.07402544210475615,-7.4025442104756145
2012-01-06,771.99,0.0043191486593727735,0.43191486593727735,-0.07002602033440963,-7.002602033440963
2012-01-09,791.82,0.025686861228772395,2.5686861228772395,-0.04613790777237037,-4.613790777237037
