date,price_close,price_open,price_high,price_low,price_daily_return,price_cum_return,price_cum_return_pct
2019-08-12,3501.28,3509.38,3527.73,3497.87,,0.0,0.0
2019-08-13,3420.71,3487.54,3487.54,3420.71,-0.023011584334871826,-0.023011584334871826,-2.3011584334871826
2019-08-14,3428.22,3469.09,3471.76,3428.22,0.002195450652057618,-0.020866654480647062,-2.086665448064706
2019-08-15,3456.12,3403.81,3463.29,3386.39,0.00813833417925336,-0.012898140108760225,-1.2898140108760225
2019-08-16,3485.36,3453.9,3502.62,3430.59,0.00846035438584325,-0.004546908559155294,-0.4546908559155294
2019-08-19,3572.27,3519.39,3584.72,3519.39,0.024935731172676556,0.020275442124023435,2.0275442124023435
2019-08-20,3576.64,3565.62,3592.15,3563.68,0.001223311787742709,0.02152355709911813,2.152355709911813
2019-08-21,3595.93,3576.31,3606.88,3561.43,0.00539333005278686,0.02703297079925049,2.703297079925049
2019-08-22,3580.17,3599.11,3603.89,3569.04,-0.004382732700580871,0.02253175981355393,2.253175981355393
2019-08-23,3572.14,3580.55,3580.55,3540.39,-0.00224291025286516,0.020238312845587858,2.023831284558786
2019-08-26,3502.71,3479.81,3507.84,3449.89,-0.01943652824357378,0.0004084220627884605,0.04084220627884605
2019-08-27,3522.65,3513.23,3545.86,3507.65,0.005692735053715481,0.006103482155097595,0.6103482155097595
2019-08-28,3516.4,3536.36,3554.03,3516.4,-0.0017742324670347864,0.004318420691861169,0.4318420691861169
2019-08-29,3511.64,3530.62,3530.62,3490.48,-0.0013536571493573124,0.00295891788146041,0.295891788146041
2019-08-30,3527.47,3536.89,3547.62,3503.27,0.0045078652709276135,0.007480121555545338,0.7480121555545338
2019-09-02,3516.61,3515.89,3519.99,3495.28,-0.0030786937947026027,0.0043783987570260585,0.43783987570260585
2019-09-03,3476.35,3506.18,3514.69,3473.71,-0.011448525710840873,-0.007120253164556889,-0.7120253164556889
2019-09-04,3575.43,3479.46,3587.96,3479.46,0.028501157823579204,0.0211779691998355,2.11779691998355
2019-09-05,3596.58,3574.83,3609.97,3563.55,0.0059153724167442245,0.02721861719142704,2.721861719142704
2019-09-06,3626.75,3617.89,3631.67,3612.17,0.00838852465397677,0.03583546588676123,3.583546588676123
2019-09-09,3611.98,3636.77,3645.63,3609.56,-0.00407251671606812,0.03161700863684125,3.161700863684125
2019-09-10,3640.79,3618.61,3642.74,3614.9,0.007976234641387858,0.03984542795777535,3.984542795777535
2019-09-11,3706.64,3659.09,3706.64,3646.76,0.018086733923132092,0.05865283553443312,5.865283553443312
2019-09-12,3706.28,3719.76,3725.28,3692.27,-9.71230008848245e-05,0.05855001599415077,5.855001599415077
2019-09-13,3753.46,3711.43,3754.41,3705.59,0.0127297451892463,0.0720250879678288,7.2025087967828805
2019-09-16,3749.49,3759.52,3759.52,3724.92,-0.001057690770648989,0.07089121692638112,7.089121692638112
2019-09-17,3685.95,3741.13,3741.13,3674.21,-0.016946304697438852,0.05274356806653557,5.274356806653557
2019-09-18,3697.29,3688.58,3701.75,3686.2,0.0030765474301062135,0.055982383585431617,5.598238358543162
2019-09-19,3662.61,3699.25,3702.09,3647.38,-0.00937984307425166,0.04607743453822599,4.607743453822599
2019-09-20,3648.65,3669.32,3672.82,3648.65,-0.0038114896207895876,0.04209032125394141,4.209032125394141
2019-09-23,3605.9,3648.14,3651.28,3599.75,-0.011716662327162064,0.029880500845405056,2.9880500845405056
2019-09-24,3581.09,3614.18,3614.18,3579.11,-0.006880390471172282,0.022794520860942136,2.2794520860942136
2019-09-25,3537.96,3572.09,3572.09,3533.51,-0.012043819060677086,0.010476168715441103,1.0476168715441103
2019-09-26,3550.0,3546.81,3559.79,3539.26,0.0034030910468179076,0.01391491111821952,1.391491111821952
2019-09-27,3531.2,3551.77,3551.77,3519.99,-0.00529577464788733,0.008545446236804644,0.8545446236804644
2019-09-30,3552.32,3523.86,3561.3,3518.48,0.005980969642048084,0.014577525933372915,1.4577525933372915
2019-10-02,3553.03,3540.99,3562.3,3528.33,0.000199869381136919,0.014780308915596674,1.4780308915596674
2019-10-03,3541.7,3540.09,3552.52,3511.26,-0.003188827564079233,0.011544349495041795,1.1544349495041795
2019-10-04,3518.7,3545.95,3555.5,3493.98,-0.0064940565265267924,0.004975323310332236,0.4975323310332236
2019-10-08,3525.83,3524.55,3559.97,3514.89,0.00202631653735752,0.00701172142759221,0.701172142759221
2019-10-09,3503.13,3514.73,3520.25,3499.27,-0.006438200367005709,0.0005283781931180176,0.05283781931180176
2019-10-10,3521.23,3505.57,3530.36,3499.32,0.005166807968873588,0.005697916190650298,0.5697916190650298
2019-10-11,3604.21,3546.9,3611.36,3546.9,0.023565629055755988,0.029397820225745885,2.9397820225745885
2019-10-14,3655.3,3630.18,3672.71,3630.18,0.014175089686782938,0.04398962665082462,4.398962665082462
2019-10-15,3647.28,3657.26,3657.54,3636.84,-0.00219407435778185,0.04169903578119971,4.169903578119971
2019-10-16,3659.42,3651.1,3660.91,3631.84,0.003328507819525761,0.04516633916738999,4.516633916738999
2019-10-17,3677.74,3664.96,3691.92,3661.51,0.005006257822277815,0.0503987113284281,5.03987113284281
2019-10-18,3651.67,3678.68,3683.06,3645.75,-0.007088592450798514,0.042952862952976956,4.295286295297696
2019-10-21,3662.93,3646.32,3667.31,3641.48,0.0030835206905333035,0.046168829685143464,4.616882968514346
2019-10-22,3670.4,3668.68,3673.47,3658.96,0.002039351011349,0.04830233514600368,4.830233514600368
2019-10-23,3647.1,3671.84,3671.84,3633.56,-0.006348081952920692,0.04164762601105876,4.164762601105876
