date,price_close,price_open,price_high,price_low,price_daily_return,price_cum_return,price_cum_return_pct,mdd_shape,fit_close,fit_daily_return,fit_cum_return,fit_cum_return_pct
2019-08-12,3501.28,3509.38,3527.73,3497.87,,0.0,0.0,0.0,1000.0,,0.0,0.0
2019-08-13,3420.71,3487.54,3487.54,3420.71,-0.023011584334871826,-0.023011584334871826,-2.3011584334871826,8.859627202113658e-05,977.1415824607817,-0.022858417539218245,-0.022858417539218245,-2.2858417539218245
2019-08-14,3428.22,3469.09,3471.76,3428.22,0.002195450652057618,-0.020866654480647062,-2.086665448064706,0.0001781701596471639,979.4405456754369,0.0023527432011085647,-0.020559454324563187,-2.0559454324563187
2019-08-15,3456.12,3403.81,3463.29,3386.39,0.00813833417925336,-0.012898140108760225,-1.2898140108760225,0.0002687312038394339,987.5667054338998,0.008296736125886106,-0.012433294566100206,-1.2433294566100206
2019-08-16,3485.36,3453.9,3502.62,3430.59,0.00846035438584325,-0.004546908559155294,-0.4546908559155294,0.00036028901867306843,996.0785284308283,0.008618985381031896,-0.003921471569171553,-0.3921471569171553
2019-08-19,3572.27,3519.39,3584.72,3519.39,0.024935731172676556,0.020275442124023435,2.0275442124023435,0.0004528532916468936,1021.077247599509,0.025097136877413107,0.02107724759950913,2.107724759950913
2019-08-20,3576.64,3565.62,3592.15,3563.68,0.001223311787742709,0.02152355709911813,2.152355709911813,0.0005464337839914572,1022.4875226492345,0.001381163915894712,0.022487522649234704,2.2487522649234704
2019-08-21,3595.93,3576.31,3606.88,3561.43,0.00539333005278686,0.02703297079925049,2.703297079925049,0.0006410403309750697,1028.1643966455545,0.00555202275878286,0.0281643966455547,2.81643966455547
2019-08-22,3580.17,3599.11,3603.89,3569.04,-0.004382732700580871,0.02253175981355393,2.253175981355393,0.000736682842207801,1023.8199908497121,-0.004225399955509301,0.023819990849712314,2.3819990849712314
2019-08-23,3572.14,3580.55,3580.55,3540.39,-0.00224291025286516,0.020238312845587858,2.023831284558786,0.0008333713019434205,1021.6852707873873,-0.0020850540929105987,0.021685270787387356,2.1685270787387356
2019-08-26,3502.71,3479.81,3507.84,3449.89,-0.01943652824357378,0.0004084220627884605,0.04084220627884605,0.0009311157693791892,1001.9859440843893,-0.019281208476085943,0.001985944084389457,0.1985944084389457
2019-08-27,3522.65,3513.23,3545.86,3507.65,0.005692735053715481,0.006103482155097595,0.6103482155097595,0.0010299263789534177,1007.8497918833166,0.005852225606104433,0.007849791883316914,0.7849791883316914
2019-08-28,3516.4,3536.36,3554.03,3516.4,-0.0017742324670347864,0.004318420691861169,0.4318420691861169,0.0011298133406408635,1006.2213733566902,-0.0016157353404652186,0.006221373356690485,0.6221373356690485
2019-08-29,3511.64,3530.62,3530.62,3490.48,-0.0013536571493573124,0.00295891788146041,0.295891788146041,0.0012307869402457144,1005.019038837368,-0.0011949005965865567,0.005019038837368539,0.5019038837368539
2019-08-30,3527.47,3536.89,3547.62,3503.27,0.0045078652709276135,0.007480121555545338,0.7480121555545338,0.0013328575396923,1009.710215718717,0.0046677492664972675,0.009710215718717441,0.9710215718717441
2019-09-02,3516.61,3515.89,3519.99,3495.28,-0.0030786937947026027,0.0043783987570260585,0.43783987570260585,0.0014360355773133068,1006.762042294916,-0.002919821328837835,0.006762042294916393,0.6762042294916393
2019-09-03,3476.35,3506.18,3514.69,3473.71,-0.011448525710840873,-0.007120253164556889,-0.7120253164556889,0.0015403315681356126,995.39490259823,-0.011290790891137048,-0.00460509740176962,-0.460509740176962
2019-09-04,3575.43,3479.46,3587.96,3479.46,0.028501157823579204,0.0211779691998355,2.11779691998355,0.0016457561041634677,1023.9283684385823,0.02866547313621237,0.023928368438582703,2.3928368438582703
2019-09-05,3596.58,3574.83,3609.97,3563.55,0.0059153724167442245,0.02721861719142704,2.721861719142704,0.0017523198546591794,1030.1500467929716,0.00607628282032735,0.03015004679297184,3.015004679297184
2019-09-06,3626.75,3617.89,3631.67,3612.17,0.00838852465397677,0.03583546588676123,3.583546588676123,0.0018600335664211052,1038.957867331223,0.008550036536591588,0.038957867331223195,3.8957867331223195
2019-09-09,3611.98,3636.77,3645.63,3609.56,-0.00407251671606812,0.03161700863684125,3.161700863684125,0.0019689080640589367,1034.89263770057,-0.0039127954640695295,0.03489263770057027,3.4892637700570273
2019-09-10,3640.79,3618.61,3642.74,3614.9,0.007976234641387858,0.03984542795777535,3.984542795777535,0.0020789542502661854,1043.3146952728016,0.008138097871625227,0.04331469527280185,4.331469527280185
2019-09-11,3706.64,3659.09,3706.64,3646.76,0.018086733923132092,0.05865283553443312,5.865283553443312,0.0021901831060899355,1062.3556417572665,0.018250434476518418,0.06235564175726682,6.235564175726682
2019-09-12,3706.28,3719.76,3725.28,3692.27,-9.71230008848245e-05,0.05855001599415077,5.855001599415077,0.002302605691197568,1062.4234897674467,6.386562796234507e-05,0.06242348976744694,6.242348976744694
2019-09-13,3753.46,3711.43,3754.41,3705.59,0.0127297451892463,0.0720250879678288,7.2025087967828805,0.002416233144140617,1076.121332416034,0.012893015619962922,0.07612133241603414,7.612133241603414
2019-09-16,3749.49,3759.52,3759.52,3724.92,-0.001057690770648989,0.07089121692638112,7.089121692638112,0.0025310766826156356,1075.1566676997143,-0.0008964274633920244,0.07515666769971441,7.515666769971441
2019-09-17,3685.95,3741.13,3741.13,3674.21,-0.016946304697438852,0.05274356806653557,5.274356806653557,0.0026471476037219026,1057.1075910958532,-0.016787392150463876,0.057107591095853394,5.710759109585339
2019-09-18,3697.29,3688.58,3701.75,3686.2,0.0030765474301062135,0.055982383585431617,5.598238358543162,0.002764457284216057,1060.531475162851,0.0032389173021152295,0.06053147516285118,6.053147516285118
2019-09-19,3662.61,3699.25,3702.09,3647.38,-0.00937984307425166,0.04607743453822599,4.607743453822599,0.00288301718076351,1050.7541494955965,-0.009219269673965247,0.050754149495596756,5.075414949559676
2019-09-20,3648.65,3669.32,3672.82,3648.65,-0.0038114896207895876,0.04209032125394141,4.209032125394141,0.003002838830186609,1046.919117002738,-0.003649790481150661,0.0469191170027381,4.69191170027381
2019-09-23,3605.9,3648.14,3651.28,3599.75,-0.011716662327162064,0.029880500845405056,2.9880500845405056,0.0031239338497094215,1034.820895684333,-0.011556022926624387,0.034820895684333,3.4820895684332998
2019-09-24,3581.09,3614.18,3614.18,3579.11,-0.006880390471172282,0.022794520860942136,2.2794520860942136,0.0032463139371992425,1027.8682047981881,-0.006718738397282764,0.02786820479818819,2.786820479818819
2019-09-25,3537.96,3572.09,3572.09,3533.51,-0.012043819060677086,0.010476168715441103,1.0476168715441103,0.0033699908714045095,1015.6542730582916,-0.011882779993466874,0.01565427305829159,1.565427305829159
2019-09-26,3550.0,3546.81,3559.79,3539.26,0.0034030910468179076,0.01391491111821952,1.391491111821952,0.0034949765121892735,1019.2769911081789,0.003566881118885812,0.01927699110817893,1.9276991108178931
2019-09-27,3531.2,3551.77,3551.77,3519.99,-0.00529577464788733,0.008545446236804644,0.8545446236804644,0.0036212828007641373,1014.0448676905345,-0.0051331713197566575,0.01404486769053448,1.404486769053448
2019-09-30,3552.32,3523.86,3561.3,3518.48,0.005980969642048084,0.014577525933372915,1.4577525933372915,0.003748921759913402,1020.2768369643517,0.006145654371300546,0.020276836964351785,2.0276836964351785
2019-10-02,3553.03,3540.99,3562.3,3528.33,0.000199869381136919,0.014780308915596674,1.4780308915596674,0.0038779054942186682,1020.6480611166862,0.0003638464962500976,0.020648061116686378,2.064806111668638
2019-10-03,3541.7,3540.09,3552.52,3511.26,-0.003188827564079233,0.011544349495041795,1.1544349495041795,0.004008246190278474,1017.5604314321812,-0.0030251658746374144,0.017560431432181334,1.7560431432181334
2019-10-04,3518.7,3545.95,3555.5,3493.98,-0.0064940565265267924,0.004975323310332236,0.4975323310332236,0.004139956116924273,1011.1185656719055,-0.006330696007124659,0.0111185656719055,1.11185656719055
2019-10-08,3525.83,3524.55,3559.97,3514.89,0.00202631653735752,0.00701172142759221,0.701172142759221,0.004273047625432365,1013.3342538652299,0.0021913238155726322,0.013334253865229906,1.3334253865229906
2019-10-09,3503.13,3514.73,3520.25,3499.27,-0.006438200367005709,0.0005283781931180176,0.05283781931180176,0.004407533149731873,1006.9762491223764,-0.006274341085976021,0.006976249122376377,0.6976249122376377
2019-10-10,3521.23,3505.57,3530.36,3499.32,0.005166807968873588,0.005697916190650298,0.5697916190650298,0.004543425206608716,1012.3462844392494,0.005332832151258016,0.012346284439249455,1.2346284439249455
2019-10-11,3604.21,3546.9,3611.36,3546.9,0.023565629055755988,0.029397820225745885,2.9397820225745885,0.00468073639590543,1036.3742729442672,0.02373495006042048,0.036374272944267316,3.6374272944267316
2019-10-14,3655.3,3630.18,3672.71,3630.18,0.014175089686782938,0.04398962665082462,4.398962665082462,0.004819479400716774,1051.2391084023125,0.014343115075420965,0.051239108402312716,5.123910840231272
2019-10-15,3647.28,3657.26,3657.54,3636.84,-0.00219407435778185,0.04169903578119971,4.169903578119971,0.004959666987581173,1049.1066645428045,-0.0020285050684129002,0.04910666454280466,4.910666454280466
2019-10-16,3659.42,3651.1,3660.91,3631.84,0.003328507819525761,0.04516633916738999,4.516633916738999,0.005101312006667729,1052.77355785158,0.0034952530878959998,0.05277355785158022,5.277355785158022
2019-10-17,3677.74,3664.96,3691.92,3661.51,0.005006257822277815,0.0503987113284281,5.03987113284281,0.00524442739195892,1058.220128448514,0.005173544259649665,0.05822012844851421,5.822012844851421
2019-10-18,3651.67,3678.68,3683.06,3645.75,-0.007088592450798514,0.042952862952976956,4.295286295297696,0.005389026161428805,1050.894009375093,-0.006923057761301643,0.05089400937509314,5.089400937509314
2019-10-21,3662.93,3646.32,3667.31,3641.48,0.0030835206905333035,0.046168829685143464,4.616882968514346,0.005535121417216673,1054.3104844305713,0.0032510177287143893,0.05431048443057129,5.431048443057129
2019-10-22,3670.4,3668.68,3673.47,3658.96,0.002039351011349,0.04830233514600368,4.830233514600368,0.005682726345796175,1056.6372867833943,0.0022069422501094227,0.056637286783394414,5.663728678339441
2019-10-23,3647.1,3671.84,3671.84,3633.56,-0.006348081952920692,0.04164762601105876,4.164762601105876,0.005831854218139653,1050.1055514610964,-0.006181624862190649,0.05010555146109641,5.010555146109641
2019-10-24,3683.52,3654.49,3683.52,3650.77,0.00998601628691298,0.05204953616962937,5.204953616962937,0.005982518389877856,1060.7698827810177,0.010155485136787545,0.06076988278101769,6.076988278101769
2019-10-25,3679.81,3684.5,3689.79,3666.06,-0.0010071887759534048,0.050989923685052396,5.09899236850524,0.006134732301454714,1059.8795895826004,-0.0008392896639215497,0.05987958958260031,5.987958958260031
2019-10-28,3694.79,3690.03,3699.32,3683.66,0.004070862354306426,0.05526835900013727,5.526835900013727,0.0062885094782773815,1064.3733662524144,0.004239893582235865,0.06437336625241441,6.437336625241441
2019-10-29,3685.03,3705.79,3705.79,3676.85,-0.002641557436281805,0.05248080701914759,5.248080701914759,0.00644386353086114,1061.740769634351,-0.0024733770136814437,0.061740769634351045,6.1740769634351045
2019-10-30,3664.0,3689.08,3689.24,3653.29,-0.0057068734854262,0.04647443220765002,4.647443220765002,0.006600808154969409,1055.8598626913483,-0.005538929191753583,0.05585986269134846,5.585986269134846
2019-10-31,3671.29,3668.86,3677.55,3653.3,0.001989628820960654,0.04855652789836884,4.855652789836884,0.006759357131748602,1058.139631493602,0.002159158504654979,0.05813963149360224,5.813963149360224
2019-11-01,3704.72,3665.44,3704.72,3657.82,0.0091057911524286,0.05810446465292696,5.810446465292696,0.0069195243278577625,1067.955796823866,0.009276814739854311,0.06795579682386599,6.795579682386599
2019-11-04,3768.91,3719.36,3769.57,3719.36,0.01732654559588842,0.07643775990494905,7.643775990494905,0.007081323695593074,1086.6442300117233,0.01749925721966883,0.08664423001172317,8.664423001172317
2019-11-05,3817.75,3778.2,3817.75,3767.08,0.012958653828295308,0.09038694420326299,9.038694420326298,0.007244769273006888,1100.9128684141963,0.013130919953735942,0.10091286841419622,10.091286841419622
2019-11-06,3817.89,3813.97,3827.43,3807.83,3.6670813960970605e-05,0.09042692958003928,9.04269295800393,0.00740987518402148,1101.140794992668,0.00020703416683631737,0.1011407949926677,10.11407949926677
2019-11-07,3849.31,3823.33,3851.03,3807.94,0.008229676601473557,0.09940079056802076,9.940079056802077,0.007576655638537244,1110.3922886121327,0.00840173541978917,0.11039228861213246,11.039228861213246
2019-11-08,3844.97,3856.66,3856.79,3833.64,-0.001127474794183958,0.09816124388794933,9.816124388794933,0.0077451249325354585,1109.3299615051546,-0.0009567133326419119,0.1093299615051544,10.93299615051544
2019-11-11,3742.87,3827.1,3827.1,3721.52,-0.02655417337456467,0.06900047982452118,6.900047982452118,0.007915297448175278,1080.057556671527,-0.026387464369852953,0.0800575566715267,8.00575566715267
