main_name,main_publish_date,name,index_publish_date,requested_return_start_date,return_start_relation,data_start_date,base_date,effective_return_start_date,visible_start_date,base_close,last_date,last_close,cum_return_pct,annualized_return_pct,max_drawdown_pct,source_path,data_note
国证自由现金流指数（100）,2024-08-15,中证全指自由现金流指数（100）,2024-12-11,2024-12-11,starts_at_index_publish,2014-09-17,2024-12-11,2024-12-11,2024-12-11,7306.83,2026-04-30,9158.95,25.34779103934266,17.75099684504058,14.212171130680007,result/dividend_total_return_indices/csv/中证全指自由现金流指数_100__daily.csv,official_or_project_total_return
中证全指自由现金流指数（100）,2024-12-11,上证红利指数（50）,2005-01-04,2024-12-11,starts_at_main_publish,2006-06-28,2024-12-11,2024-12-11,2024-12-11,6796.97,2026-04-30,7618.7,12.08965171245422,8.6048252019717,8.893087921089005,result/dividend_total_return_indices/csv/上证红利指数_50__daily.csv,official_or_project_total_return
中证全指自由现金流指数（100）,2024-12-11,中证红利指数（100）,2008-05-26,2024-12-11,starts_at_main_publish,2005-01-04,2024-12-11,2024-12-11,2024-12-11,11.326619496615066,2026-04-30,12.560321021236712,10.89205411191163,7.764324925140054,8.341094712709573,result/dividend_total_return_index_skills/csi-dividend-100-total-return/csv/csi-dividend-100-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,央企红利指数（50）,2012-07-20,2024-12-11,starts_at_main_publish,2017-01-26,2024-12-11,2024-12-11,2024-12-11,3.042046236267745,2026-04-30,3.4762251672885705,14.272594737202793,10.130502215070592,9.276392222043196,result/dividend_total_return_index_skills/central-soe-dividend-50-total-return/csv/central-soe-dividend-50-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,国企红利指数（100）,2012-07-20,2024-12-11,starts_at_main_publish,2017-01-24,2024-12-11,2024-12-11,2024-12-11,4.020043764863514,2026-04-30,4.429445905939979,10.184021991371651,7.266231343326246,8.753052818941963,result/dividend_total_return_index_skills/state-owned-enterprise-dividend-100-total-return/csv/state-owned-enterprise-dividend-100-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,消费红利指数（50）,2013-07-02,2024-12-11,starts_at_main_publish,2015-11-03,2024-12-11,2024-12-11,2024-12-11,6.024048259733231,2026-04-30,5.791693171007222,-3.857125286979335,-2.804871299173528,15.069221979398984,result/dividend_total_return_index_skills/consumer-dividend-50-total-return/csv/consumer-dividend-50-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,中证红利低波动指数（50）,2013-12-19,2024-12-11,starts_at_main_publish,2017-03-13,2024-12-11,2024-12-11,2024-12-11,22.2566,2026-04-30,23.9599088,7.653050331137745,5.478417474077113,7.702150654693629,result/dividend_total_return_index_skills/csi-dividend-low-volatility-50-total-return/csv/csi-dividend-low-volatility-50-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,港股红利指数（30）,2016-06-08,2024-12-11,starts_at_main_publish,2014-11-14,2024-12-11,2024-12-11,2024-12-11,2.73946,2026-04-30,3.862322166666667,40.98844906173724,28.203409509273847,13.55580428705615,result/dividend_total_return_index_skills/hk-dividend-30-total-return/csv/hk-dividend-30-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,恒生红利低波动指数（50）,2017-05-08,2024-12-11,starts_at_main_publish,2019-08-12,2024-12-11,2024-12-11,2024-12-11,1300.134868790109,2026-05-01,1698.0958945423456,30.609211036896088,21.25908695193175,12.397560755167314,result/hsi_hshylv_total_return_fit/csv/hshylv_fitted_total_return_daily.csv,价格指数可得起点 2019-08-12 晚于参考基准日 2010-09-30；本结果是截断区间拟合，不是 2010-09-30 起完整拟合。；拟合估算曲线，不是官方 HSHYLVDV/HSHYLVN 历史点位。若要严谨对比，应取得官方全收益历史日线或覆盖基准日的价格日线。
中证全指自由现金流指数（100）,2024-12-11,中证红利低波动指数（100）,2017-05-26,2024-12-11,starts_at_main_publish,2015-11-09,2024-12-11,2024-12-11,2024-12-11,21.9081,2026-04-30,23.1923902,5.8621706126957385,4.206355777456561,8.135869196499247,result/dividend_total_return_index_skills/csi-dividend-low-volatility-100-total-return/csv/csi-dividend-low-volatility-100-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,沪港深红利成长低波动指数（100）,2019-04-25,2024-12-11,starts_at_main_publish,2017-05-19,2024-12-11,2024-12-11,2024-12-11,10059.31,2026-04-30,11850.84,17.809670842234702,12.585600885694713,7.139905231514765,result/dividend_total_return_indices/csv/沪港深红利成长低波动指数_100__daily.csv,official_or_project_total_return
中证全指自由现金流指数（100）,2024-12-11,红利质量指数（50）,2020-05-21,2024-12-11,starts_at_main_publish,2014-06-23,2024-12-11,2024-12-11,2024-12-11,46.83313959061998,2026-04-30,56.50191661180072,20.645160896104574,14.539017242896302,11.821333655143496,result/dividend_total_return_index_skills/dividend-quality-50-total-return/csv/dividend-quality-50-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,龙头红利指数（50）,2021-12-17,2024-12-11,starts_at_main_publish,2011-10-24,2024-12-11,2024-12-11,2024-12-11,6707.91,2026-04-30,8005.24,19.340301226462486,13.641673883669325,7.314663581340442,result/dividend_total_return_index_skills/leading-dividend-50-total-return/csv/leading-dividend-50-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,港股通央企红利指数（48）,2023-09-13,2024-12-11,starts_at_main_publish,2018-02-01,2024-12-11,2024-12-11,2024-12-11,1907.53,2026-04-30,2662.21,39.56320477266413,27.264737511241364,12.950851615546421,result/dividend_total_return_index_skills/hk-connect-central-soe-dividend-48-total-return/csv/hk-connect-central-soe-dividend-48-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,国证自由现金流指数（100）,2024-08-15,2024-12-11,starts_at_main_publish,2014-10-13,2024-12-11,2024-12-11,2024-12-11,7182.1973,2026-04-30,9011.7777,25.47382539880938,17.83661686274185,13.8179697180691,result/dividend_total_return_index_skills/cni-free-cash-flow-100-total-return/csv/cni-free-cash-flow-100-total-return_daily.csv,per_index_skill_total_return
中证全指自由现金流指数（100）,2024-12-11,中证全指自由现金流指数（100）,2024-12-11,2024-12-11,starts_at_main_publish,2014-09-17,2024-12-11,2024-12-11,2024-12-11,7306.83,2026-04-30,9158.95,25.34779103934266,17.75099684504058,14.212171130680007,result/dividend_total_return_indices/csv/中证全指自由现金流指数_100__daily.csv,official_or_project_total_return
